no,post_url,akun,comment
6848,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,ALBY HANAN ARFANI,dia muntah darah
6849,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,lover_matchawww,kasian banget guguknya🥺💓
6850,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,hanif bermuka -_-,gw kira jasad bayi coo
6851,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,ratna,kalian pakai masker donk
6852,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,Humaira putri ✨,Kaliannn hebattt
6853,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,tong.sotongg,Aku liatnya ikut mual mual disini😫
6854,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,ran.wnsr,kok komen ny ada yg tega sm pandawa si?
6855,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,zzl.ffaa1,gua lagi makan 😭
6856,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,May4-🌷,ITU APAA 😭
6857,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,sitiamelia5078,pandawara tidak butuh kata kata Pandawara hanya butuh bukti nyata kita untuk menjaga lingkungan
6858,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,ayulina17,yaAllah kasian🥺😭
6859,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,fckup,"biasanya kerjaan orang kaya tu yg kaya gitu, gapunya tanah terus gamau ribet jadi buang² aja"
6860,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,𖣂︎,takut pls
6861,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,Aku idew,"takutnya yg kaya gini si pemilik dah bagus ngafanin, tapi nyuruh orang buat nguburinnya, yg disuruh gamau repot alhasil dibuang gitu aja😭😫"
6862,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,Rinzzs_jihan 🤗,kirain ak kambing 😂😂
6863,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,hahh??,kirain aku jasad bayi
6864,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,BLINKONCE,kalo ketemu jasad bayi gimna😭
6865,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,zungwonz,"Semangat Pandawaraa, terimakasih untuk semua kerja kerasnya. Maaf untuk orang-orang yang ngelunjak dan tidak bertanggungjawab"
6866,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,reni,mantap
6867,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,boys🤘🏻,bang semangat teruss ya....
6868,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,ALBY HANAN ARFANI,dia muntah darah
6869,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,lover_matchawww,kasian banget guguknya🥺💓
6870,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,hanif bermuka -_-,gw kira jasad bayi coo
6871,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,ratna,kalian pakai masker donk
6872,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,Humaira putri ✨,Kaliannn hebattt
6873,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,tong.sotongg,Aku liatnya ikut mual mual disini😫
6874,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,zzl.ffaa1,gua lagi makan 😭
6875,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,ran.wnsr,kok komen ny ada yg tega sm pandawa si?
6876,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,May4-🌷,ITU APAA 😭
6877,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,sitiamelia5078,pandawara tidak butuh kata kata Pandawara hanya butuh bukti nyata kita untuk menjaga lingkungan
6878,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,fckup,"biasanya kerjaan orang kaya tu yg kaya gitu, gapunya tanah terus gamau ribet jadi buang² aja"
6879,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,ayulina17,yaAllah kasian🥺😭
6880,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,𖣂︎,takut pls
6881,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,Rinzzs_jihan 🤗,kirain ak kambing 😂😂
6882,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,Aku idew,"takutnya yg kaya gini si pemilik dah bagus ngafanin, tapi nyuruh orang buat nguburinnya, yg disuruh gamau repot alhasil dibuang gitu aja😭😫"
6883,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,hahh??,kirain aku jasad bayi
6884,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,BLINKONCE,kalo ketemu jasad bayi gimna😭
6885,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,reni,mantap
6886,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,zungwonz,"Semangat Pandawaraa, terimakasih untuk semua kerja kerasnya. Maaf untuk orang-orang yang ngelunjak dan tidak bertanggungjawab"
6887,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,boys🤘🏻,bang semangat teruss ya....
6888,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,ALBY HANAN ARFANI,dia muntah darah
6889,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,lover_matchawww,kasian banget guguknya🥺💓
6890,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,hanif bermuka -_-,gw kira jasad bayi coo
6891,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,ratna,kalian pakai masker donk
6892,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,Humaira putri ✨,Kaliannn hebattt
6893,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,zzl.ffaa1,gua lagi makan 😭
6894,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,tong.sotongg,Aku liatnya ikut mual mual disini😫
6895,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,ran.wnsr,kok komen ny ada yg tega sm pandawa si?
6896,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,May4-🌷,ITU APAA 😭
6897,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,fckup,"biasanya kerjaan orang kaya tu yg kaya gitu, gapunya tanah terus gamau ribet jadi buang² aja"
6898,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,sitiamelia5078,pandawara tidak butuh kata kata Pandawara hanya butuh bukti nyata kita untuk menjaga lingkungan
6899,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,ayulina17,yaAllah kasian🥺😭
6900,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,𖣂︎,takut pls
6901,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,@Saudah08,"semangat yah Tim Pandawara semoga kebaikan kalian dapet berkah dari Allah dan selalu dalam lindungannya,, kasian bgt kk yg muntah semoga ttp kuat ☺️☺️"
6902,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,Aku idew,"takutnya yg kaya gini si pemilik dah bagus ngafanin, tapi nyuruh orang buat nguburinnya, yg disuruh gamau repot alhasil dibuang gitu aja😭😫"
6903,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,hahh??,kirain aku jasad bayi
6904,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,reni,mantap
6905,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,BLINKONCE,kalo ketemu jasad bayi gimna😭
6906,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,zungwonz,"Semangat Pandawaraa, terimakasih untuk semua kerja kerasnya. Maaf untuk orang-orang yang ngelunjak dan tidak bertanggungjawab"
6907,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,boys🤘🏻,bang semangat teruss ya....
6908,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,ALBY HANAN ARFANI,dia muntah darah
6909,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,lover_matchawww,kasian banget guguknya🥺💓
6910,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,hanif bermuka -_-,gw kira jasad bayi coo
6911,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,ratna,kalian pakai masker donk
6912,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,zzl.ffaa1,gua lagi makan 😭
6913,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,Humaira putri ✨,Kaliannn hebattt
6914,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,tong.sotongg,Aku liatnya ikut mual mual disini😫
6915,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,ran.wnsr,kok komen ny ada yg tega sm pandawa si?
6916,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,fckup,"biasanya kerjaan orang kaya tu yg kaya gitu, gapunya tanah terus gamau ribet jadi buang² aja"
6917,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,May4-🌷,ITU APAA 😭
6918,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,sitiamelia5078,pandawara tidak butuh kata kata Pandawara hanya butuh bukti nyata kita untuk menjaga lingkungan
6919,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,ayulina17,yaAllah kasian🥺😭
6920,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,𖣂︎,takut pls
6921,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,Aku idew,"takutnya yg kaya gini si pemilik dah bagus ngafanin, tapi nyuruh orang buat nguburinnya, yg disuruh gamau repot alhasil dibuang gitu aja😭😫"
6922,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,hahh??,kirain aku jasad bayi
6923,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,reni,mantap
6924,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,BLINKONCE,kalo ketemu jasad bayi gimna😭
6925,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,zungwonz,"Semangat Pandawaraa, terimakasih untuk semua kerja kerasnya. Maaf untuk orang-orang yang ngelunjak dan tidak bertanggungjawab"
6926,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,boys🤘🏻,bang semangat teruss ya....
6927,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,ALBY HANAN ARFANI,dia muntah darah
6928,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,lover_matchawww,kasian banget guguknya🥺💓
6929,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,hanif bermuka -_-,gw kira jasad bayi coo
6930,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,ratna,kalian pakai masker donk
6931,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,zzl.ffaa1,gua lagi makan 😭
6932,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,Humaira putri ✨,Kaliannn hebattt
6933,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,tong.sotongg,Aku liatnya ikut mual mual disini😫
6934,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,ran.wnsr,kok komen ny ada yg tega sm pandawa si?
6935,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,fckup,"biasanya kerjaan orang kaya tu yg kaya gitu, gapunya tanah terus gamau ribet jadi buang² aja"
6936,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,May4-🌷,ITU APAA 😭
6937,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,sitiamelia5078,pandawara tidak butuh kata kata Pandawara hanya butuh bukti nyata kita untuk menjaga lingkungan
6938,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,ayulina17,yaAllah kasian🥺😭
6939,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,Venty✨,kak pliss pakai masker ya🙏🙏
6940,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,𖣂︎,takut pls
6941,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,Aku idew,"takutnya yg kaya gini si pemilik dah bagus ngafanin, tapi nyuruh orang buat nguburinnya, yg disuruh gamau repot alhasil dibuang gitu aja😭😫"
6942,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,reni,mantap
